Slide;Pular Tópico;Personagem 1 Corpo;Personagem 1 Rosto;Personagem 2 Corpo;Personagem 2 Rosto;Personagem 3 Corpo;Personagem 3 Rosto;Origem Texto;Dialogo
0;;;;;;;;Na;Na desnecessariamente enorme e certamente financiada através da exploração de funcionários sala do CEO da PetroCais, um trio nada convencional se prepara para gravar a última parte do vídeo de treinamento para iniciantes em segurança cibernética.
1;;;;Falando;;;;En;Olá, sortudo.
1;;;Feliz;Falando;Feliz;;Feliz;En;Antes de tudo, quero dizer que é realmente incrível que você tenha chegado até aqui.
1;;;;Falando;;;;En;Estatissicamente falando, as chances de você estar exatamente nesta situação eram baixamente baixas.
1;;;;Falando;Feliz;;;En;Mas eu gosto de pessoas que desafiam as provabilidades.
1;;;;;;;;Na;O senhor de terno parece incapaz de perceber quando pronuncia palavras de maneira incorreta.
1;;;Feliz;Falando;Feliz;;Feliz;En;Então, parabéns.
1;;;;Falando;;;;En;Agora chegou a hora da recompensa.
1;;;;Falando;;;;En;E, para o deleite de seus olhos, eu sou a recompensa.
1;;;;Falando;Feliz;;;En;Será uma honra para você ter minha presença aqui hoje.
1;;;;Falando;;Reagindo;;En;Lari, as palmas.
1;;;;;;;;Na;O garoto magrelo desliza o dedo pelo tablet e sons de uma plateia animada ecoam pelas caixas de som do ambiente.
1;;;;Falando;;;;En;Fenonemal.
1;;;;Falando;Feliz;;;En;Você também se sente maravilhado por ver parte da sala do grande Enzo Kaiser. Acredite, é muito maior do que aparece nessa telinha mixuruca.
1;;;Surpresa;Falando;Feliz;;Surpresa;En;Enfim, devo relembrar que a distribuchação ilegal deste conteúdo é um crime federal. E embora eu possua recursos, contatos e uma deternimação admirável para defender os interesses da PetroCais...
1;;;;Falando;;;;En;Prefiro acreditar que não precisaremos chegar a esse ponto.
1;;;;Falando;Feliz;;;En;Você aí do outro lado claramente parece ser uma pessoa de bom caráter, já que está tão fascinado ao me ver. Por isso, vamos prosseguir.
1;;;;Falando;Surpresa;;;En;Esta apresentação foi fornecida pela C.A.F.E., o SOC parceiro da nossa magnífica empresa.
1;;;;Falando;;;;En;Devem estar muito satisfeitos por terem o privilégio de trabalhar para mim.
1;;;;Falando;;;;En;Para sua sorte, sou especialista nesta área.
1;;;;Falando;Feliz;;;En;Assim como em diversas outras.
1;;;;Falando;;;;En;Meus amigos próximos costumam me chamar de especialista em tudo. Dizem que sou como uma IA de última geração, só que muito melhor.
1;;;;;;;;Na;Enzo não tem muitos amigos.
1;;;Feliz;Falando;Feliz;;Feliz;En;Porém, sabemos que a maioria das pessoas jamais alcançará um nível tão vasto de conhecimento.
1;;;;Falando;;;;En;Por isso, estou aqui para abençoar você com pelo menos meio por cento da minha sabedoria.
1;;;Triste;Falando;Feliz;;Triste;En;Uma pena que eu não possa assumir o cargo de apresentador principal.
1;;;;Falando;;;;En;Minha humildade extrema me impede.
