Slide;Pular Tópico;Personagem 1 Corpo;Personagem 1 Rosto;Personagem 2 Corpo;Personagem 2 Rosto;Personagem 3 Corpo;Personagem 3 Rosto;Origem Texto;Dialogo
0;;;;;;;;Na;Em uma pequena sala no prédio da C.A.F.E., os funcionários mais qualificados entre os que estavam disponíveis naquele dia se preparam para gravar um vídeo de treinamento para iniciantes em segurança cibernética.
1;;Falando;Feliz;;Extra;;Feliz;Rq;Olá. Desejo-lhes boas-vindas à A.U.L.A.
1;;Falando;Feliz;;Bravo;Reagindo;Extra;Rq;Também conhecida como Aprendizagem Unificada de Logística de Ameaças, a A.U.L.A. é um treinamento introdutório realizado pela C.A.F.E.
1;;Falando;Feliz;;Feliz;;Feliz;Rq;Devo lembrar que, se você está assistindo a este conteúdo, é porque foi aprovado no primeiro teste realizado no simulador da nossa empresa. Nossa equipe lhe deseja congratulações.
1;;Reagindo;Surpresa;;Surpresa;Falando;Surpresa;Rb;Arrasou!!!
1;;;;;;;;Na;A mulher de roupas extravagantes estala os dedos no ar.
1;;;Feliz;Falando;Feliz;;Feliz;Rf;Felicitações pela conquista, nobre aventureiro. Sua guilda deve estar orgulhosa de seus feitos.
1;;;;;;;;Na;O homem de casaco esverdeado faz uma reverência.
1;;Falando;Feliz;;Feliz;Reagindo;Surpresa;Rq;É importante ressaltar que, caso você tenha tido acesso a este conteúdo por outros meios, denuncie imediatamente o responsável.
1;;Falando;Feliz;;Extra;;Feliz;Rq;A venda ou distribuição ilegal deste material está sujeita a processos judiciais e humilhação pública.
1;;Falando;Feliz;;Bravo;;Medo;Rq;Essa apresentação é fornecida pelo SOC da C.A.F.E., considerado por muitos o melhor Centro de Operações de Segurança do bairro.
1;;Falando;Feliz;;Feliz;;Feliz;Rq;Um dos contratos mais recentes da organização consiste na proteção dos ativos computacionais da…renomada…petrolífera PetroCais.
1;;;;;;;;Na;A voz da apresentadora sofre de uma breve hesitação.
1;;Falando;Feliz;Reagindo;Surpresa;Reagindo;Surpresa;Rq;Para a execução desta atividade, a C.A.F.E. dispõe de uma equipe técnica dedicada, composta por esta gestora que vos fala, Raquel Garcia Hent, pelo analista júnior Tiago Nogueira Vatto, pelo analista pleno Rafael Medina Oliveira e pelo analista sênior Eduardo Pontes Rodrigues.
1;;Falando;Feliz;;Feliz;;Feliz;Rq;Com o objetivo de aprimorar a compreensão das informações e evitar a sobrecarga de conteúdo, nossos superiores optaram por dividir as A.U.L.As em diferentes partes.
1;;;;;;;;Na;A mulher formal faz um gesto de separação com as mãos.
1;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Cada tópico contará com um resumo introdutório, conforme apresentado anteriormente nas informações gerais da C.A.F.E., seguido por uma versão mais detalhada e aprofundada.
1;;Falando;Triste;Reagindo;Surpresa;;Feliz;Rq;Dessa forma, será possível optar, em seu dispositivo, por prosseguir com o conteúdo completo ou visualizar apenas o resumo, avançando para a próxima seção.
1;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Não faça isso, fique com a gente! Adoramos você!
1;;Falando;Feliz;;Extra;;Feliz;Rq;Ressalta-se, ainda, que a continuidade integral do conteúdo contribui diretamente para a elevação da remuneração financeira destinada aos apresentadores.
1;;;Feliz;;Extra;Falando;Feliz;Rb;Credo, não precisava ser fofoqueira…
1;;;;;;;;Na;A mulher de lilás evita contato visual.
1;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Deseja otimizar seu tempo, avançando para o próximo tópico ou aprofundar seus conhecimentos permanecendo neste conteúdo?
1;;Falando;Feliz;;Extra;;Feliz;Rq;Caso esteja visualizando este conteúdo, significa que optou por prosseguir para a versão estendida. Nossa equipe agradece pela continuidade.
1;;;Surpresa;Reagindo;Vergonha;Falando;Feliz;Rb;Divooouuuuuuu!
1;;;;;;;;Na;A pessoa mais animada do grupo dá um pequeno pulo no ar, contente pela possibilidade de receber as taxas extras.
1;;;Feliz;Falando;Feliz;;Feliz;Rf;É uma honra para nós contar com sua presença por mais tempo.
2;;;;;;;;Na;A moça de coque nos cabelos usa controle remoto para passar o slide da apresentação.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Certo, agora, a apresentação da equipe presente.
2;;Falando;Feliz;Reagindo;Vergonha;;Medo;Rq;Meu nome é Raquel Garcia Hent, gerente de segurança cibernética, e serei a respon—
2;;Reagindo;Surpresa;;Surpresa;Falando;Feliz;Rb;Oieee! E eu sou a Rebec—
2;;;;;;;;Na;A mulher mais animada pula pra frente, interrompendo a mais formal.
2;;;;;;;;Na;Raquel, por sua vez, interrompe a interrupção.
2;;Falando;Feliz;;Extra;Reagindo;Extra;Rq;Senhorita Hernandes, por obséquio, aguarde sua vez de falar. Conforme já combinado em nossos ensaios.
2;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Receio que o editor precise remover este trecho da gravação posteriormente.
2;;;Feliz;;Feliz;Falando;Feliz;Rb;Aff…
2;;;;;;;;Na;Senhorita Hernandes revira os olhos.
2;;Falando;Feliz;;Extra;Reagindo;Surpresa;Rq;Vamos novamente...
2;;Falando;Feliz;;Extra;;Feliz;Rq;Apresentação da equipe presente.
2;;Falando;Feliz;;Bravo;;Medo;Rq;Meu nome é Raquel Garcia Hent, gerente de segurança cibernética, serei a responsável pela condução deste treinamento.
2;;;;;;;;Na;Raquel permanece ereta diante da câmera, falando com um tom excessivamente formal.
2;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Sou formada em Ciência da Computação, com especialização complementar em Gestão de Pessoas.
2;;Falando;Feliz;;Extra;;Feliz;Rq;Ao longo da minha trajetória, adquiri ampla experiência tanto no trato com máquinas quanto com as pessoas que insistem em operar essas máquinas de maneira inadequada.
2;;Falando;Feliz;Reagindo;Surpresa;;Medo;Rq;Também possuo pós-graduação e MBA com foco em cibersegurança.
2;;Falando;Feliz;;Extra;Reagindo;Vergonha;Rq;Fui reconhecida por minha atuação em coordenação de respostas a incidentes, gestão de crises e aplicação de medidas corretivas sutis em colaboradores excessivamente desleixados.
2;;;Feliz;Reagindo;Vergonha;Falando;Feliz;Rb;Tá se achando demais…
2;;;;;;;;Na;A moça de vestido sussurra isso para si mesma, enquanto morre de inveja.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Recomenda-se que, durante esta apresentação, sejam mencionadas todas as informações constantes em meu currículo.
2;;Falando;Feliz;;Extra;;Feliz;Rq;Nesse sentido, cabe informar que obtive o primeiro lugar no concurso de Meditação Mental Extracorpórea, promovido pela NamasTecno, no ano de 2007.
2;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Na ocasião, devo admitir que ainda não possuía o mesmo repertório crítico que tenho hoje em relação a determinadas pseudociências de caráter questionável.
2;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;No entanto, considero importante esclarecer que tal episódio não compromete, de forma alguma, minha credibilidade profissional.
2;;;Surpresa;Reagindo;Vergonha;Falando;Feliz;Rb;Era aquele concurso de quem voava mais longe com a alma nessas viagens astrais?
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Não.
2;;Falando;Feliz;Reagindo;Vergonha;Reagindo;Vergonha;Rq;Era consideravelmente mais simples do que isso.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Ainda assim, algumas das práticas de meditação e concentração ensinadas no evento, apesar do contexto duvidoso em que foram apresentadas, continuam sendo úteis para o controle emocional em momentos de elevada tensão.
2;;;Medo;Falando;Feliz;Reagindo;Extra;Rf;É deveras fascinante conhecer mais sobre a lore de sua personagem, mestra da cibersegurança.
2;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;…
2;;;;;;;;Na;Raquel não tinha certeza de como ou se deveria responder aquilo.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Senhor Medina.
2;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;Apresente-se.
2;;;Surpresa;Falando;Extra;;Surpresa;Rf;Saudações, nobre explorador que nos observa através dos cristais arcanos da gravação!
2;;;Surpresa;Falando;Extra;;Surpresa;Rf;Me chamo Sir Rafael, analista pleno, conhecido como o escudeiro digital!
2;;;;;;;;Na;Rafael ergue uma das mãos e força a voz.
2;;;Feliz;;Extra;Falando;Feliz;Rb;Que cringe…
2;;;Surpresa;Falando;Feliz;;Surpresa;Rf;Oi?
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Nada não!
2;;;;;;;;Na;Rebeca tenta disfarçar, evitando contato visual.
2;;Reagindo;Surpresa;Falando;Feliz;;Feliz;Rf;Muito bem…
2;;;Surpresa;Falando;Extra;;Surpresa;Rf;Sobre meus muitos feitos!
2;;;Feliz;Falando;Feliz;;Feliz;Rf;Tudo começou na pequena escola da aldeia…
2;;;Feliz;Falando;Feliz;;Feliz;Rf;Rafinha era um jovem sonhador, explorando o mundo à sua volta.
2;;;Surpresa;Falando;Extra;;Surpresa;Rf;Os outros já sabiam que ele estava destinado à grandiosidade. Tanto que mal ousavam se aproximar.
2;;;Surpresa;Reagindo;Surpresa;Falando;Feliz;Rb;Acho que eles te evitavam mesmo, querido.
2;;Falando;Feliz;;Extra;;Feliz;Rq;Senhor Medina, por obséquio, limite-se ao conteúdo apresentado no slide.
2;;;Surpresa;Falando;Feliz;Reagindo;Vergonha;Rf;Certo! Me perdoe pelo deslize.
2;;;Feliz;Falando;Extra;Reagindo;Vergonha;Rf;Fui agraciado com os títulos de CEH e CISSP, insígnias reservadas aos guerreiros que enfrentam os feiticeiros das sombras que rondam os reinos da informação.
2;;;;;;;;Na;Rafael complementa gestualmente o que fala, como se estivesse em um teatro infantil.
2;;Reagindo;Surpresa;Falando;Feliz;;Feliz;Rf;Ao longo de incontáveis batalhas, e também de muitas rolagens infelizes, me tornei um dobrador de cyber, restaurando a paz no tabuleiro sempre que um chefe de nível absurdamente alto surgia diante do grupo.
2;;;;;;;;Na;As duas mulheres na sala trocam olhares confusos diante das analogias RPGísticas do analista.
2;;;Surpresa;Falando;Feliz;;Surpresa;Rf;Ainda assim, o feito que considero mais glorioso em minha jornada foi minha participação no maior torneio de mestres de roleplaying game de Minas Gerais.
2;;;Surpresa;Falando;Feliz;;Surpresa;Rf;Onde conquistei o mais do que honroso terceiro lugar no Stinky Nerd Awards!
2;;;Feliz;;Feliz;Falando;Feliz;Rb;Credo... O nome da premiação já diz tudo.
2;;;;;;;;Na;Por sorte, o analista pleno não pescou essa provocação.
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Posso me apresentar agora, hein? Já tô cansada de esperar!
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Vá em frente.
2;;Reagindo;Vergonha;Reagindo;Surpresa;Falando;Feliz;Rb;Finalmente!
2;;;;;;;;Na;A mulher, deixada por último, fecha os olhos, respira fundo e se vira em direção à câmera.
2;;Reagindo;Vergonha;;Surpresa;Falando;Feliz;Rb;Oieee! Eu sou a Rebeca, mas podem me chamar de Beca!
2;;;;;;;;Na;Rebeca acenou animadamente, como se estivesse cumprimentando uma de suas amigas de balada.
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Não preciso desses rótulos chiques de nerd pra provar que sou um ícone no que faço!
2;;Reagindo;Vergonha;;Surpresa;Falando;Feliz;Rb;Sou a rainha do RH, baby!
2;;;;;;;;Na;Senhorita Hernandes faz biquinho, apoia as costas das mãos sob o queixo e inclina levemente a cabeça para o lado, como se estivesse posando para a capa de uma revista.
2;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Não pretende mencionar suas qualificações?
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Aff... Que saco. Tá bom!
2;;Reagindo;Vergonha;;Extra;Falando;Feliz;Rb;Eu fiz um curso técnico em psicologia.
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Mas o mais importante é que tirei o terceiro lugar no concurso cover da Taylana Carpenter!
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Arrasei na imitação da diva Taytay!
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Vocês precisavam ter visto!
2;;;Surpresa;;Surpresa;Falando;Feliz;Rb;O povo simplesmente babava só de me ouvir cantar!
2;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Creio que estamos, mais uma vez, nos desviando do foco.
2;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;De qualquer modo, esta será a equipe que acompanhará você durante a A.U.L.A. de hoje.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Caso tenha qualquer reclamação em relação ao conteúdo apresentado, recomendamos cordialmente que a mantenha para si.
2;;Falando;Feliz;;Feliz;;Feliz;Rq;Embora sejamos um espaço aberto à crítica, não temos a menor vontade de refazer esta gravação se não formos novamente pagos por isso.
2;;;Feliz;Falando;Extra;Reagindo;Vergonha;Rf;É um argumento válido.
2;;Reagindo;Vergonha;;Extra;Falando;Feliz;Rb;Real. Real.
2;;Reagindo;Vergonha;Falando;Extra;;Surpresa;Rf;Que tenha início, então, nossa jornada pelo incrível mundo cibernético!
2;;;;;;;;Na;Rafael ergue as duas mãos ao alto e proclama em voz alta, enquanto suas colegas se arrependem por terem levantado da cama hoje.
3;;Falando;Feliz;;Bravo;Reagindo;Surpresa;Rq;Dando início à contextualização, a empresa na qual atuamos é a C.A.F.E.: Cybersecurity and Assurance For Enterprises, cuja tradução livre é “Cibersegurança e Garantia para Empresas”.
3;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Em português, a sigla ficaria C.G.P.E.? Ainda bem que não escolheram essa, porque ficaria hor-rí-vel!
3;;;Feliz;Falando;Feliz;Reagindo;Surpresa;Rf;Parece Sergipe…
3;;Falando;Feliz;;Feliz;Reagindo;Vergonha;Rq;Seu nome reflete confiabilidade operacional, excelência na prestação de serviços e, naturalmente, uma referência à bebida produzida a partir dos grãos do fruto do cafeeiro.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;Agora, irei apresentar algumas de suas especialidades.
3;;Falando;Feliz;;Extra;;Feliz;Rq;A C.A.F.E. destaca-se por sua técnica inovadora de divisão de tarefas, na qual cada cliente recebe uma equipe exclusiva.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;Segundo relatórios internos, esse modelo reduziu em 65% as taxas de burnout dos funcionários, em 25% os casos de envio de mensagens odiosas aos clientes e em 72% os casos de derramamento proposital de café sobre computadores corporativos.
3;;;;;;;;Na;Raquel continua séria, mas os outros colegas trocam olhares levemente preocupados.
3;;Falando;Feliz;Reagindo;Vergonha;;Medo;Rq;Além disso, a empresa é especialista no combate a ataques direcionados, tema no qual entraremos em mais detalhes posteriormente.
3;;Falando;Feliz;;Bravo;;Medo;Rq;Seu extenso treinamento, combinado com confraternizações corporativas frequentes, mantém os funcionários com a mente tranquila, mas sempre um passo à frente das ameaças digitais.
3;;Reagindo;Vergonha;;Surpresa;Falando;Feliz;Rb;Eu amoooo os churrascos da firma!
