Slide;Pular Tópico;Personagem 1 Corpo;Personagem 1 Rosto;Personagem 2 Corpo;Personagem 2 Rosto;Personagem 3 Corpo;Personagem 3 Rosto;Origem Texto;Dialogo
0;;;;;;;;Na;Em uma das salas de reuniões mais antigas no prédio da sede da PetroCais, alguns funcionários nada especialistas na área se preparam para gravar um vídeo de treinamento para iniciantes em segurança cibernética.
1;;Falando;Feliz;;Feliz;;Feliz;Gu;Eaí, boa noite.
1;;Falando;;;;;;Gu;…
1;;;;Falando;;;;Th;…
1;;;Surpresa;Falando;Vergonha;;Surpresa;Th;Com licença, ahn…
1;;Reagindo;Surpresa;Falando;Surpresa;Reagindo;Surpresa;Th;Senhor Gustavo, você não devia começar a apresentação?
1;;Falando;;;;;;Gu;É isso mesmo. “Devia” do verbo não devo mais.
1;;Falando;;;;;;Gu;Minha apresentação foi essa.
1;;;;Falando;;;;Th;Oh…
1;;Falando;Vergonha;;Surpresa;;Surpresa;Gu;Ishi, foi mal.
1;;Falando;Surpresa;Reagindo;Surpresa;Reagindo;Surpresa;Gu;Viajei, né?
1;;Falando;;;;;;Gu;Esse trabalho me deixa com a cabeça fervendo.
1;;;;;;;;Na;O senhor calvo esfrega a própria testa.
1;;Falando;;;;;;Gu;Cê não tem culpa, moça. Me avisa se perceber que eu pirei de novo.
1;;;Feliz;Falando;Feliz;;Feliz;Th;Certo… Conte comigo!
1;;Falando;Feliz;;Feliz;;Feliz;Gu;Enfim, boa noite, cara!
1;;;;;;;;Na;O integrante de óculos vira para a câmera.
1;;Falando;Surpresa;;Feliz;;Feliz;Gu;Espero que esteja confortável, ao invés de numa sala fria que nem a gente, haha!
1;;Extra;Extra;Extra;Medo;Reagindo;Medo;Gu;Pra chegar aqui, você deve ter passado no segundo teste. Boa!
1;;Falando;;;;;;Gu;O pessoal lá de cima me obriga a dizer que quem tiver vendo isso tá proibido de mostrar pra outras pessoas, se não o advogado aqui vai processar geral.
1;;Falando;;;;;;Gu;Então não diga que não avisei, fi.
1;;;;;;Falando;;An;Será um grande prazer.
1;;;;;;;;Na;O homem de terno me dá um pouco de medo.
1;;Falando;;;;;;Gu;Essa apresentação foi fornecida pela C.A.F.E., o SOC parceiro da PC.
1;;Falando;Feliz;;Surpresa;;Surpresa;Gu;Nenhum de nóis entende po-... coisa nenhuma de ciber, então vamos tentar improvisar com o que a Raquel passou pra gente.
1;;;Feliz;Falando;Feliz;;Feliz;Th;Daremos o nosso melhor!
1;;Falando;;;;;;Gu;É… fale por você.
1;;Falando;;;;;;Gu;Pra não sobrecarregar ninguém com esses assuntos complicados de ciber, a gente separou as coisas.
1;;Falando;Surpresa;;;;;Gu;Que nem eu e minha antiga esposa, haha…
1;;;;;;;;Na;O divorciado dá um sorriso sem graça.
1;;Falando;;;;;;Gu;Cada um dos tópicos terá primeiro um resumão e o resto depois.
1;;Falando;;;;;;Gu;Você pode escolher se vai querer ver tudo ou só pular pra próxima parte.
1;;;;;;Falando;;An;Conforme previsto nas cláusulas contratuais da PetroCais, ignorar a apresentação referente às gloriosas contribuições da companhia ao setor energético constitui potencial violação de conduta institucional.
1;;;;;;Falando;;An;Tal infração poderá acarretar processos judiciais e determinações restritivas que inviabilizam sua circulação em ambientes públicos.
1;;Falando;Surpresa;;;;;Gu;Caramba…
1;4;Falando;Surpresa;Extra;Extra;Reagindo;Surpresa;Gu;Eaí, qual vai ser?
1;;Falando;;;;;;Gu;Show, vamo começar de uma vez.
2;;Falando;;;;;;Gu;Pegaram logo essa foto…
2;;;;;;;;Na;O sujeito da polo corporativa observa o slide e suspira com desdém.
2;;Falando;;;;;;Gu;Dane-se.
2;;Falando;;;;;;Gu;Meu nome é Gustavo, mas você pode me chamar de Gus.
2;;Falando;;;;;;Gu;Ou de Tavo.
2;;Falando;;;;;;Gu;…
2;;Falando;;;;;;Gu;Podem ir, falem.
2;;Reagindo;Vergonha;Falando;Vergonha;;;Th;Me perdoe, senhor Gusta- Gus…
2;;;;Falando;Surpresa;;;Th;Mas devo relembrar que precisamos informar nossas competências profissionais também.
2;;Extra;Extra;;;;;Gu;Droga, é mesmo.
2;;;;;;Falando;;An;Tsc, tsc.
2;;Falando;;;;;;Gu;Tá, vamo ver…
2;;;;;;;;Na;O profissional pouca-telha usa diversos de seus neurônios cansados para acessar essa informação.
2;;Falando;;;;;;Gu;Sou formado em Ciência da Computação, trabalhei com quase tudo que envolve TI nessa vida.
2;;Falando;Feliz;;;;;Gu;Como suporte técnico de hotel, suporte técnico de salão de beleza, suporte técnico de animatrônicos de uma pizzaria infantil que só abria a noite…
2;;Falando;;;;;;Gu;Geralmente sempre como suporte técnico mesmo.
